No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
Pain/face_clean_C07C08_25m46s04f.jpg, 25:46, pain, 0.89711 
Pain/face_clean_C07C08_26m07s27f.jpg, 26:07, pain, 0.84166 
Pain/face_clean_C07C08_26m07s29f.jpg, 26:07, pain, 0.89359 
Pain/face_clean_C07C08_26m31s09f.jpg, 26:31, pain, 0.61373 
Pain/face_clean_C07C08_26m36s09f.jpg, 26:36, no pain, 0.57508 
Pain/face_clean_C07C08_26m53s24f.jpg, 26:53, no pain, 0.50990 
Pain/face_clean_C07C08_26m56s24f.jpg, 26:56, pain, 0.63073 
Pain/face_clean_C07C08_27m06s09f.jpg, 27:06, pain, 0.72153 
Pain/face_clean_C07C08_27m17s24f.jpg, 27:17, pain, 0.74369 
Pain/face_clean_C07C08_27m23s09f.jpg, 27:23, pain, 0.57796 
Pain/face_clean_C07C08_27m25s24f.jpg, 27:25, pain, 0.58566 
Pain/face_clean_C07C08_27m40s24f.jpg, 27:40, no pain, 0.50194 
Pain/face_clean_C07C08_27m57s24f.jpg, 27:57, pain, 0.62074 
Pain/face_clean_C07C08_28m11s24f.jpg, 28:11, no pain, 0.52305 
Pain/face_clean_C07C08_28m15s24f.jpg, 28:15, pain, 0.62462 
Pain/face_clean_C07C08_28m20s09f.jpg, 28:20, pain, 0.61841 
Pain/face_clean_C07C08_28m30s24f.jpg, 28:30, pain, 0.51026 
Pain/face_clean_C07C08_28m54s09f.jpg, 28:54, pain, 0.55624 
Pain/face_clean_C07C08_28m55s09f.jpg, 28:55, pain, 0.51567 
Pain/face_clean_C07C08_29m13s09f.jpg, 29:13, pain, 0.57516 
Pain/face_clean_C07C08_29m14s09f.jpg, 29:14, pain, 0.58674 
Pain/face_clean_C07C08_29m21s24f.jpg, 29:21, pain, 0.54279 
Pain/face_clean_C07C08_29m22s09f.jpg, 29:22, pain, 0.59389 
Pain/face_clean_C07C08_29m40s09f.jpg, 29:40, pain, 0.58757 
Pain/face_clean_C07C08_29m50s24f.jpg, 29:50, pain, 0.63254 
Pain/face_clean_C07C08_30m04s09f.jpg, 30:04, pain, 0.53143 
Pain/face_clean_C07C08_30m15s24f.jpg, 30:15, pain, 0.77380 
Pain/face_clean_C07C08_30m37s24f.jpg, 30:37, pain, 0.63180 
Pain/face_clean_C07C08_30m37s27f.jpg, 30:37, pain, 0.64246 
Pain/face_clean_C07C08_31m02s09f.jpg, 31:02, no pain, 0.77935 
Pain/face_clean_C07C08_31m08s09f.jpg, 31:08, no pain, 0.67652 
Pain/face_clean_C07C08_31m25s07f.jpg, 31:25, no pain, 0.79179 
Pain/face_clean_C07C08_31m28s22f.jpg, 31:28, no pain, 0.63836 
Pain/face_clean_C07C08_31m42s24f.jpg, 31:42, pain, 0.50968 
Pain/face_clean_C07C08_31m44s09f.jpg, 31:44, no pain, 0.74950 
Pain/face_clean_C07C08_32m15s13f.jpg, 32:15, no pain, 0.61580 
Pain/face_clean_C07C08_32m15s21f.jpg, 32:15, no pain, 0.58060 
Pain/face_clean_C07C08_32m25s19f.jpg, 32:25, no pain, 0.62577 
Pain/face_clean_C07C08_32m32s29f.jpg, 32:32, pain, 0.64100 
Pain/face_clean_C07C08_32m46s19f.jpg, 32:46, no pain, 0.67949 
Pain/face_clean_C07C08_32m46s20f.jpg, 32:46, no pain, 0.52649 
Pain/face_clean_C07C08_33m00s08f.jpg, 33:00, no pain, 0.64755 
Pain/face_clean_C07C08_34m16s17f.jpg, 34:16, no pain, 0.58362 
Pain/face_clean_C07C08_34m22s09f.jpg, 34:22, pain, 0.64895 
Pain/face_clean_C07C08_34m25s09f.jpg, 34:25, pain, 0.59204 
Pain/face_clean_C07C08_34m49s24f.jpg, 34:49, pain, 0.51984 
Pain/face_clean_C07C08_34m50s09f.jpg, 34:50, no pain, 0.51667 
Pain/face_clean_C07C08_35m07s24f.jpg, 35:07, no pain, 0.62102 
Pain/face_clean_C07C08_35m17s24f.jpg, 35:17, no pain, 0.51263 
Pain/face_clean_C07C08_35m23s09f.jpg, 35:23, no pain, 0.68612 
Pain/face_clean_C07C08_35m26s09f.jpg, 35:26, no pain, 0.67712 
Pain/face_clean_C07C08_35m50s09f.jpg, 35:50, no pain, 0.57039 
Pain/face_clean_C07C08_35m55s24f.jpg, 35:55, no pain, 0.57316 
Pain/face_clean_C07C08_36m04s09f.jpg, 36:04, no pain, 0.64169 
Pain/face_clean_C07C08_36m10s24f.jpg, 36:10, no pain, 0.64981 
Pain/face_clean_C07C08_36m22s09f.jpg, 36:22, no pain, 0.62973 
Pain/face_clean_C07C08_36m23s09f.jpg, 36:23, no pain, 0.61384 
Pain/face_clean_C07C08_39m06s21f.jpg, 39:06, no pain, 0.50217 
Pain/face_clean_C07C08_39m17s16f.jpg, 39:17, pain, 0.79731 
Pain/face_clean_C07C08_39m26s09f.jpg, 39:26, pain, 0.82592 
Pain/face_clean_C07C08_39m26s24f.jpg, 39:26, pain, 0.80536 
Pain/face_clean_C07C08_39m42s24f.jpg, 39:42, pain, 0.88261 
Pain/face_clean_C07C08_39m50s09f.jpg, 39:50, pain, 0.78687 
Pain/face_clean_C07C08_40m07s07f.jpg, 40:07, pain, 0.91547 
Pain/face_clean_C08C07_07m28s19f.jpg, 07:28, pain, 0.91264 
Pain/face_clean_C08C07_07m36s08f.jpg, 07:36, pain, 0.90282 
Pain/face_clean_C08C07_07m48s26f.jpg, 07:48, pain, 0.92069 
Pain/face_clean_C08C07_07m57s13f.jpg, 07:57, pain, 0.95991 
Pain/face_clean_C08C07_08m03s07f.jpg, 08:03, pain, 0.88016 
Pain/face_clean_C08C07_08m06s02f.jpg, 08:06, pain, 0.88083 
Pain/face_clean_C08C07_08m56s14f.jpg, 08:56, pain, 0.91583 
Pain/face_clean_C08C07_10m12s20f.jpg, 10:12, pain, 0.76399 
Pain/face_clean_C08C07_10m15s03f.jpg, 10:15, pain, 0.79723 
Pain/face_clean_C08C07_11m00s07f.jpg, 11:00, pain, 0.90385 
Pain/face_clean_C08C07_11m08s23f.jpg, 11:08, pain, 0.88367 
Pain/face_clean_C08C07_11m23s07f.jpg, 11:23, pain, 0.86545 
Pain/face_clean_C08C07_11m23s13f.jpg, 11:23, pain, 0.87571 
Pain/face_clean_C08C07_11m47s13f.jpg, 11:47, pain, 0.87679 
Pain/face_clean_C08C07_11m53s26f.jpg, 11:53, pain, 0.90201 
Pain/face_clean_C08C07_12m10s11f.jpg, 12:10, pain, 0.96417 
Pain/face_clean_C08C07_12m12s28f.jpg, 12:12, pain, 0.94748 
Pain/face_clean_C08C07_12m23s05f.jpg, 12:23, pain, 0.86317 
Pain/face_clean_C08C07_12m23s24f.jpg, 12:23, pain, 0.86520 
Pain/face_clean_C08C07_12m53s20f.jpg, 12:53, pain, 0.90773 
Pain/face_clean_C08C07_12m54s20f.jpg, 12:54, pain, 0.96277 
Pain/face_clean_C08C07_13m22s24f.jpg, 13:22, pain, 0.89839 
Pain/face_clean_C08C07_13m35s07f.jpg, 13:35, pain, 0.92034 
Pain/face_clean_C08C07_13m55s11f.jpg, 13:55, pain, 0.89994 
Pain/face_clean_C08C07_13m55s13f.jpg, 13:55, pain, 0.90487 
Pain/face_clean_C08C07_14m32s10f.jpg, 14:32, pain, 0.94204 
Pain/face_clean_C08C07_14m33s16f.jpg, 14:33, pain, 0.85662 
Pain/face_clean_C08C07_15m00s18f.jpg, 15:00, pain, 0.90348 
Pain/face_clean_C08C07_15m03s09f.jpg, 15:03, pain, 0.88480 
Pain/face_clean_C08C07_15m53s18f.jpg, 15:53, pain, 0.80085 
Pain/face_clean_C08C07_15m56s24f.jpg, 15:56, pain, 0.92866 
Pain/face_clean_C08C07_16m08s29f.jpg, 16:08, pain, 0.89526 
Pain/face_clean_C08C07_16m17s07f.jpg, 16:17, pain, 0.89241 
Pain/face_clean_C08C07_16m23s09f.jpg, 16:23, pain, 0.93764 
Pain/face_clean_C08C07_16m27s08f.jpg, 16:27, pain, 0.96004 
Pain/face_clean_C08C07_16m54s24f.jpg, 16:54, pain, 0.97212 
Pain/face_clean_C08C07_16m54s25f.jpg, 16:54, pain, 0.94239 
Pain/face_clean_C08C07_17m01s11f.jpg, 17:01, pain, 0.94730 
Pain/face_clean_C08C07_17m05s28f.jpg, 17:05, pain, 0.93523 
Pain/face_clean_C08C07_17m20s28f.jpg, 17:20, pain, 0.91934 
Pain/face_clean_C08C07_17m21s11f.jpg, 17:21, pain, 0.88913 
Pain/face_clean_C08C07_17m54s28f.jpg, 17:54, pain, 0.90679 
Pain/face_clean_C08C07_17m57s20f.jpg, 17:57, pain, 0.83567 
Pain/face_clean_C08C07_18m05s13f.jpg, 18:05, pain, 0.88664 
Pain/face_clean_C08C07_18m17s13f.jpg, 18:17, pain, 0.91297 
Pain/face_clean_C08C07_18m30s28f.jpg, 18:30, pain, 0.91701 
Pain/face_clean_C08C07_18m33s13f.jpg, 18:33, pain, 0.94820 
Pain/face_clean_C08C07_18m41s11f.jpg, 18:41, pain, 0.88462 
Pain/face_clean_C08C07_18m41s13f.jpg, 18:41, pain, 0.92608 
Pain/face_clean_C08C07_19m03s18f.jpg, 19:03, pain, 0.84708 
Pain/face_clean_C08C07_19m03s28f.jpg, 19:03, pain, 0.88411 
Pain/face_clean_C08C07_20m57s22f.jpg, 20:57, pain, 0.78116 
Pain/face_clean_C08C07_21m00s25f.jpg, 21:00, pain, 0.91663 
Pain/face_clean_C08C07_21m00s26f.jpg, 21:00, pain, 0.91993 
Pain/face_clean_C08C07_21m50s26f.jpg, 21:50, pain, 0.69724 
Pain/face_clean_C08C07_22m07s13f.jpg, 22:07, pain, 0.91250 
Pain/face_clean_C08C07_22m07s28f.jpg, 22:07, pain, 0.94158 
Pain/face_clean_C08C07_22m31s28f.jpg, 22:31, pain, 0.89609 
Pain/face_clean_C08C07_22m32s28f.jpg, 22:32, pain, 0.92182 
Pain/face_clean_C08C07_22m41s13f.jpg, 22:41, pain, 0.97881 
Pain/face_clean_C08C07_22m44s13f.jpg, 22:44, pain, 0.79852 
Pain/face_clean_C08C07_25m26s29f.jpg, 25:26, pain, 0.90858 
Pain/face_clean_C08C07_30m44s24f.jpg, 30:44, pain, 0.71802 
Pain/face_clean_C08C07_30m44s25f.jpg, 30:44, pain, 0.74001 
Pain/face_clean_C08C07_36m57s10f.jpg, 36:57, pain, 0.89014 
Pain/face_clean_C08C07_37m07s28f.jpg, 37:07, pain, 0.87843 
Pain/face_clean_C08C07_37m12s20f.jpg, 37:12, pain, 0.68979 
Pain/face_clean_C08C07_38m44s06f.jpg, 38:44, pain, 0.79959 
Pain/face_clean_C08C07_38m44s26f.jpg, 38:44, no pain, 0.50791 
Pain/face_clean_C09C10_08m15s03f.jpg, 08:15, pain, 0.79626 
Pain/face_clean_C09C10_08m15s06f.jpg, 08:15, pain, 0.79108 
Pain/face_clean_C09C10_08m27s30f.jpg, 08:27, pain, 0.75349 
Pain/face_clean_C09C10_08m31s26f.jpg, 08:31, pain, 0.57478 
Pain/face_clean_C09C10_08m44s03f.jpg, 08:44, pain, 0.83252 
Pain/face_clean_C09C10_08m55s23f.jpg, 08:55, pain, 0.60913 
Pain/face_clean_C09C10_09m04s28f.jpg, 09:04, pain, 0.69487 
Pain/face_clean_C09C10_09m09s15f.jpg, 09:09, pain, 0.71237 
Pain/face_clean_C09C10_09m23s26f.jpg, 09:23, pain, 0.56242 
Pain/face_clean_C09C10_09m37s15f.jpg, 09:37, pain, 0.64502 
Pain/face_clean_C09C10_09m45s13f.jpg, 09:45, no pain, 0.51776 
Pain/face_clean_C09C10_09m55s30f.jpg, 09:55, pain, 0.70119 
Pain/face_clean_C09C10_10m02s30f.jpg, 10:02, pain, 0.76795 
Pain/face_clean_C09C10_10m04s30f.jpg, 10:04, pain, 0.68615 
Pain/face_clean_C09C10_15m25s30f.jpg, 15:25, pain, 0.76638 
Pain/face_clean_C09C10_18m15s30f.jpg, 18:15, pain, 0.77713 
Pain/face_clean_C09C10_18m17s30f.jpg, 18:17, pain, 0.72217 
Pain/face_clean_C09C10_18m25s15f.jpg, 18:25, pain, 0.73154 
Pain/face_clean_C09C10_18m32s30f.jpg, 18:32, no pain, 0.55760 
Pain/face_clean_C09C10_18m40s08f.jpg, 18:40, pain, 0.77172 
Pain/face_clean_C09C10_18m40s17f.jpg, 18:40, pain, 0.52489 
Pain/face_clean_C09C10_19m02s15f.jpg, 19:02, pain, 0.86610 
Pain/face_clean_C09C10_19m03s30f.jpg, 19:03, pain, 0.81372 
Pain/face_clean_C09C10_20m35s30f.jpg, 20:35, pain, 0.65101 
Pain/face_clean_C09C10_20m36s15f.jpg, 20:36, pain, 0.67382 
Pain/face_clean_C09C10_20m44s15f.jpg, 20:44, pain, 0.78484 
Pain/face_clean_C09C10_20m56s30f.jpg, 20:56, pain, 0.86797 
Pain/face_clean_C09C10_21m06s30f.jpg, 21:06, pain, 0.91911 
Pain/face_clean_C09C10_21m16s15f.jpg, 21:16, pain, 0.93729 
Pain/face_clean_C09C10_21m21s28f.jpg, 21:21, pain, 0.94493 
Pain/face_clean_C09C10_21m24s30f.jpg, 21:24, pain, 0.90215 
Pain/face_clean_C09C10_21m50s30f.jpg, 21:50, pain, 0.93728 
Pain/face_clean_C09C10_21m55s30f.jpg, 21:55, pain, 0.93867 
Pain/face_clean_C09C10_22m04s15f.jpg, 22:04, pain, 0.86673 
Pain/face_clean_C09C10_22m07s15f.jpg, 22:07, pain, 0.90146 
Pain/face_clean_C09C10_22m36s15f.jpg, 22:36, pain, 0.90671 
Pain/face_clean_C09C10_22m36s30f.jpg, 22:36, pain, 0.98445 
Pain/face_clean_C09C10_22m54s15f.jpg, 22:54, pain, 0.94794 
Pain/face_clean_C09C10_22m55s30f.jpg, 22:55, pain, 0.94103 
Pain/face_clean_C09C10_23m04s30f.jpg, 23:04, pain, 0.95486 
Pain/face_clean_C09C10_23m14s15f.jpg, 23:14, pain, 0.95713 
Pain/face_clean_C09C10_23m30s15f.jpg, 23:30, pain, 0.95585 
Pain/face_clean_C09C10_23m32s15f.jpg, 23:32, pain, 0.97022 
Pain/face_clean_C09C10_23m43s15f.jpg, 23:43, pain, 0.91970 
Pain/face_clean_C09C10_23m50s30f.jpg, 23:50, pain, 0.94841 
Pain/face_clean_C09C10_24m02s15f.jpg, 24:02, pain, 0.96456 
Pain/face_clean_C09C10_24m17s15f.jpg, 24:17, pain, 0.93395 
Pain/face_clean_C09C10_24m35s15f.jpg, 24:35, pain, 0.94003 
Pain/face_clean_C09C10_24m37s15f.jpg, 24:37, pain, 0.95866 
Pain/face_clean_C09C10_24m40s15f.jpg, 24:40, pain, 0.94696 
Pain/face_clean_C09C10_24m44s15f.jpg, 24:44, pain, 0.95374 
Pain/face_clean_C09C10_25m02s15f.jpg, 25:02, pain, 0.94207 
Pain/face_clean_C09C10_25m02s30f.jpg, 25:02, pain, 0.89027 
Pain/face_clean_C09C10_25m21s30f.jpg, 25:21, pain, 0.80181 
Pain/face_clean_C09C10_25m32s15f.jpg, 25:32, pain, 0.92849 
Pain/face_clean_C09C10_25m42s15f.jpg, 25:42, pain, 0.76563 
Pain/face_clean_C09C10_25m47s30f.jpg, 25:47, pain, 0.74787 
Pain/face_clean_C09C10_26m14s30f.jpg, 26:14, pain, 0.83797 
Pain/face_clean_C09C10_26m17s30f.jpg, 26:17, pain, 0.74200 
Pain/face_clean_C09C10_26m25s15f.jpg, 26:25, pain, 0.66435 
Pain/face_clean_C09C10_26m26s15f.jpg, 26:26, pain, 0.95044 
Pain/face_clean_C09C10_26m50s30f.jpg, 26:50, pain, 0.76840 
Pain/face_clean_C09C10_26m53s15f.jpg, 26:53, pain, 0.85398 
Pain/face_clean_C09C10_27m00s30f.jpg, 27:00, pain, 0.83941 
Pain/face_clean_C09C10_27m04s15f.jpg, 27:04, pain, 0.78529 
Pain/face_clean_C09C10_27m35s15f.jpg, 27:35, pain, 0.96655 
Pain/face_clean_C09C10_27m37s15f.jpg, 27:37, pain, 0.96102 
Pain/face_clean_C09C10_27m44s30f.jpg, 27:44, pain, 0.95949 
Pain/face_clean_C09C10_27m53s30f.jpg, 27:53, pain, 0.84379 
Pain/face_clean_C09C10_28m00s15f.jpg, 28:00, pain, 0.93501 
Pain/face_clean_C09C10_28m14s30f.jpg, 28:14, pain, 0.91231 
Pain/face_clean_C09C10_28m21s15f.jpg, 28:21, pain, 0.87059 
Pain/face_clean_C09C10_28m35s30f.jpg, 28:35, pain, 0.93682 
Pain/face_clean_C09C10_28m40s25f.jpg, 28:40, pain, 0.91456 
Pain/face_clean_C09C10_28m41s15f.jpg, 28:41, pain, 0.96271 
Pain/face_clean_C09C10_29m21s22f.jpg, 29:21, pain, 0.94417 
Pain/face_clean_C09C10_30m22s26f.jpg, 30:22, pain, 0.89820 
Pain/face_clean_C09C10_30m24s01f.jpg, 30:24, pain, 0.91563 
Pain/face_clean_C09C10_30m50s22f.jpg, 30:50, pain, 0.83732 
Pain/face_clean_C10C09_07m32s09f.jpg, 07:32, pain, 0.64466 
Pain/face_clean_C10C09_07m35s03f.jpg, 07:35, pain, 0.73401 
Pain/face_clean_C10C09_07m43s15f.jpg, 07:43, no pain, 0.58842 
Pain/face_clean_C10C09_07m50s15f.jpg, 07:50, no pain, 0.64174 
Pain/face_clean_C10C09_08m00s09f.jpg, 08:00, no pain, 0.71158 
Pain/face_clean_C10C09_08m00s15f.jpg, 08:00, pain, 0.59485 
Pain/face_clean_C10C09_10m41s15f.jpg, 10:41, no pain, 0.65112 
Pain/face_clean_C10C09_10m41s30f.jpg, 10:41, pain, 0.59718 
Pain/face_clean_C10C09_11m54s16f.jpg, 11:54, no pain, 0.58003 
Pain/face_clean_C10C09_12m08s13f.jpg, 12:08, pain, 0.74837 
Pain/face_clean_C10C09_12m10s15f.jpg, 12:10, pain, 0.63746 
Pain/face_clean_C10C09_12m35s09f.jpg, 12:35, pain, 0.76377 
Pain/face_clean_C10C09_12m36s13f.jpg, 12:36, pain, 0.80403 
Pain/face_clean_C10C09_12m46s26f.jpg, 12:46, pain, 0.65743 
Pain/face_clean_C10C09_12m52s13f.jpg, 12:52, pain, 0.60084 
Pain/face_clean_C10C09_13m09s09f.jpg, 13:09, pain, 0.84916 
Pain/face_clean_C10C09_13m12s30f.jpg, 13:12, pain, 0.59418 
Pain/face_clean_C10C09_13m20s05f.jpg, 13:20, pain, 0.66632 
Pain/face_clean_C10C09_13m20s06f.jpg, 13:20, pain, 0.75706 
Pain/face_clean_C10C09_13m51s15f.jpg, 13:51, pain, 0.79370 
Pain/face_clean_C10C09_13m52s25f.jpg, 13:52, pain, 0.78237 
Pain/face_clean_C10C09_14m11s30f.jpg, 14:11, pain, 0.78671 
Pain/face_clean_C10C09_14m14s30f.jpg, 14:14, pain, 0.86427 
Pain/face_clean_C10C09_14m31s30f.jpg, 14:31, pain, 0.71500 
Pain/face_clean_C10C09_14m35s15f.jpg, 14:35, pain, 0.61697 
Pain/face_clean_C10C09_14m42s15f.jpg, 14:42, pain, 0.73011 
Pain/face_clean_C10C09_14m49s15f.jpg, 14:49, pain, 0.72760 
Pain/face_clean_C10C09_15m02s30f.jpg, 15:02, pain, 0.77740 
Pain/face_clean_C10C09_15m05s15f.jpg, 15:05, pain, 0.76851 
Pain/face_clean_C10C09_15m45s21f.jpg, 15:45, pain, 0.78507 
Pain/face_clean_C10C09_15m45s24f.jpg, 15:45, pain, 0.94745 
Pain/face_clean_C10C09_16m30s28f.jpg, 16:30, pain, 0.64399 
Pain/face_clean_C10C09_16m30s30f.jpg, 16:30, pain, 0.84637 
Pain/face_clean_C10C09_16m48s15f.jpg, 16:48, pain, 0.80692 
Pain/face_clean_C10C09_16m57s30f.jpg, 16:57, pain, 0.69744 
Pain/face_clean_C10C09_17m03s15f.jpg, 17:03, pain, 0.74120 
Pain/face_clean_C10C09_17m06s30f.jpg, 17:06, pain, 0.66579 
Pain/face_clean_C10C09_17m23s15f.jpg, 17:23, pain, 0.65496 
Pain/face_clean_C10C09_17m27s30f.jpg, 17:27, pain, 0.54482 
Pain/face_clean_C10C09_17m43s15f.jpg, 17:43, pain, 0.79402 
Pain/face_clean_C10C09_17m56s30f.jpg, 17:56, pain, 0.75474 
Pain/face_clean_C10C09_18m09s30f.jpg, 18:09, pain, 0.82079 
Pain/face_clean_C10C09_18m11s30f.jpg, 18:11, pain, 0.74434 
Pain/face_clean_C10C09_18m54s30f.jpg, 18:54, pain, 0.91496 
Pain/face_clean_C10C09_18m55s30f.jpg, 18:55, pain, 0.84432 
Pain/face_clean_C10C09_19m00s07f.jpg, 19:00, pain, 0.83681 
Pain/face_clean_C10C09_19m00s13f.jpg, 19:00, pain, 0.82759 
Pain/face_clean_C10C09_19m27s27f.jpg, 19:27, pain, 0.52149 
Pain/face_clean_C10C09_19m28s01f.jpg, 19:28, pain, 0.75807 
Pain/face_clean_C10C09_19m55s06f.jpg, 19:55, pain, 0.76611 
Pain/face_clean_C10C09_19m56s13f.jpg, 19:56, pain, 0.79373 
Pain/face_clean_C10C09_20m01s10f.jpg, 20:01, pain, 0.75006 
Pain/face_clean_C10C09_20m06s08f.jpg, 20:06, no pain, 0.51194 
Pain/face_clean_C10C09_20m24s06f.jpg, 20:24, pain, 0.77739 
Pain/face_clean_C10C09_20m27s20f.jpg, 20:27, pain, 0.85150 
Pain/face_clean_C10C09_31m03s30f.jpg, 31:03, pain, 0.78432 
Pain/face_clean_C10C09_31m05s12f.jpg, 31:05, pain, 0.73693 
Pain/face_clean_C11C12_02m07s15f.jpg, 02:07, pain, 0.81933 
Pain/face_clean_C11C12_02m15s14f.jpg, 02:15, pain, 0.77772 
Pain/face_clean_C11C12_02m23s15f.jpg, 02:23, pain, 0.87446 
Pain/face_clean_C11C12_02m32s11f.jpg, 02:32, pain, 0.93532 
Pain/face_clean_C11C12_02m46s13f.jpg, 02:46, pain, 0.83068 
Pain/face_clean_C11C12_02m48s15f.jpg, 02:48, pain, 0.84958 
Pain/face_clean_C11C12_03m02s28f.jpg, 03:02, pain, 0.82965 
Pain/face_clean_C11C12_03m04s15f.jpg, 03:04, pain, 0.90503 
Pain/face_clean_C11C12_03m48s26f.jpg, 03:48, pain, 0.91067 
Pain/face_clean_C11C12_04m09s02f.jpg, 04:09, pain, 0.51955 
Pain/face_clean_C11C12_04m22s07f.jpg, 04:22, pain, 0.89256 
Pain/face_clean_C11C12_04m54s02f.jpg, 04:54, pain, 0.81322 
Pain/face_clean_C11C12_04m55s16f.jpg, 04:55, pain, 0.78912 
Pain/face_clean_C11C12_05m23s05f.jpg, 05:23, no pain, 0.58425 
Pain/face_clean_C11C12_05m23s27f.jpg, 05:23, pain, 0.50285 
Pain/face_clean_C11C12_07m09s15f.jpg, 07:09, pain, 0.83650 
Pain/face_clean_C11C12_07m14s15f.jpg, 07:14, pain, 0.84858 
Pain/face_clean_C11C12_07m20s30f.jpg, 07:20, pain, 0.93678 
Pain/face_clean_C11C12_07m24s30f.jpg, 07:24, pain, 0.88593 
Pain/face_clean_C11C12_07m46s30f.jpg, 07:46, pain, 0.91107 
Pain/face_clean_C11C12_07m49s30f.jpg, 07:49, pain, 0.95282 
Pain/face_clean_C11C12_09m44s09f.jpg, 09:44, pain, 0.82396 
Pain/face_clean_C11C12_09m46s28f.jpg, 09:46, pain, 0.81311 
Pain/face_clean_C11C12_10m00s28f.jpg, 10:00, pain, 0.87868 
Pain/face_clean_C11C12_10m21s24f.jpg, 10:21, pain, 0.79241 
Pain/face_clean_C11C12_10m47s30f.jpg, 10:47, pain, 0.81518 
Pain/face_clean_C11C12_10m49s11f.jpg, 10:49, pain, 0.87022 
Pain/face_clean_C11C12_11m01s26f.jpg, 11:01, pain, 0.79844 
Pain/face_clean_C11C12_11m16s22f.jpg, 11:16, pain, 0.74839 
Pain/face_clean_C11C12_11m29s11f.jpg, 11:29, pain, 0.77425 
Pain/face_clean_C11C12_11m30s15f.jpg, 11:30, pain, 0.76585 
Pain/face_clean_C11C12_11m46s15f.jpg, 11:46, pain, 0.78455 
Pain/face_clean_C11C12_11m49s15f.jpg, 11:49, pain, 0.87924 
Pain/face_clean_C11C12_12m06s15f.jpg, 12:06, pain, 0.78301 
Pain/face_clean_C11C12_12m08s08f.jpg, 12:08, pain, 0.66601 
Pain/face_clean_C11C12_12m53s28f.jpg, 12:53, pain, 0.56658 
Pain/face_clean_C11C12_13m24s30f.jpg, 13:24, pain, 0.89435 
Pain/face_clean_C11C12_14m25s24f.jpg, 14:25, pain, 0.80306 
Pain/face_clean_C11C12_14m27s15f.jpg, 14:27, pain, 0.86979 
Pain/face_clean_C11C12_14m43s30f.jpg, 14:43, pain, 0.70521 
Pain/face_clean_C11C12_14m52s15f.jpg, 14:52, pain, 0.87004 
Pain/face_clean_C11C12_15m00s08f.jpg, 15:00, pain, 0.79937 
Pain/face_clean_C11C12_15m07s15f.jpg, 15:07, pain, 0.85458 
Pain/face_clean_C11C12_15m22s11f.jpg, 15:22, pain, 0.80388 
Pain/face_clean_C11C12_15m22s23f.jpg, 15:22, pain, 0.76110 
Pain/face_clean_C11C12_17m08s24f.jpg, 17:08, no pain, 0.55723 
Pain/face_clean_C11C12_17m08s27f.jpg, 17:08, pain, 0.58793 
Pain/face_clean_C11C12_17m32s28f.jpg, 17:32, pain, 0.67452 
Pain/face_clean_C11C12_17m33s11f.jpg, 17:33, pain, 0.80038 
Pain/face_clean_C11C12_17m50s30f.jpg, 17:50, pain, 0.88672 
Pain/face_clean_C11C12_17m56s15f.jpg, 17:56, pain, 0.85261 
Pain/face_clean_C11C12_18m01s15f.jpg, 18:01, pain, 0.86636 
Pain/face_clean_C11C12_18m02s15f.jpg, 18:02, pain, 0.92314 
Pain/face_clean_C11C12_20m24s15f.jpg, 20:24, pain, 0.78246 
Pain/face_clean_C11C12_20m25s05f.jpg, 20:25, pain, 0.71873 
Pain/face_clean_C11C12_20m42s30f.jpg, 20:42, pain, 0.65032 
Pain/face_clean_C11C12_21m13s06f.jpg, 21:13, pain, 0.63708 
Pain/face_clean_C11C12_21m13s21f.jpg, 21:13, pain, 0.68425 
Pain/face_clean_C11C12_21m20s11f.jpg, 21:20, pain, 0.66615 
Pain/face_clean_C11C12_21m37s28f.jpg, 21:37, pain, 0.87861 
Pain/face_clean_C11C12_21m41s11f.jpg, 21:41, pain, 0.62073 
Pain/face_clean_C11C12_21m41s30f.jpg, 21:41, no pain, 0.51285 
Pain/face_clean_C11C12_22m01s15f.jpg, 22:01, pain, 0.69986 
Pain/face_clean_C11C12_22m06s15f.jpg, 22:06, pain, 0.71591 
Pain/face_clean_C11C12_22m57s15f.jpg, 22:57, pain, 0.57685 
Pain/face_clean_C11C12_22m57s30f.jpg, 22:57, no pain, 0.57986 
Pain/face_clean_C11C12_23m01s30f.jpg, 23:01, pain, 0.68588 
Pain/face_clean_C11C12_23m04s15f.jpg, 23:04, pain, 0.74462 
Pain/face_clean_C11C12_24m02s24f.jpg, 24:02, pain, 0.88116 
Pain/face_clean_C11C12_25m51s28f.jpg, 25:51, pain, 0.97688 
Pain/face_clean_C11C12_25m56s01f.jpg, 25:56, pain, 0.79126 
Pain/face_clean_C11C12_26m05s15f.jpg, 26:05, pain, 0.82934 
Pain/face_clean_C11C12_26m06s09f.jpg, 26:06, pain, 0.80557 
Pain/face_clean_C11C12_26m14s15f.jpg, 26:14, pain, 0.74286 
Pain/face_clean_C11C12_26m15s22f.jpg, 26:15, pain, 0.89804 
Pain/face_clean_C11C12_26m20s30f.jpg, 26:20, pain, 0.66370 
Pain/face_clean_C11C12_26m22s30f.jpg, 26:22, pain, 0.80835 
Pain/face_clean_C11C12_26m51s30f.jpg, 26:51, pain, 0.83456 
